timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307745.288,-114.258,-43.945,-93.262,-61.035,0.000
1605307745.291,72.754,3.906,-61.035,47.852,0.000
1605307745.295,266.113,87.891,30.762,166.504,0.000
1605307745.299,46.875,-3.418,-50.781,17.578,0.000
1605307745.303,-188.477,-88.867,-111.328,-106.445,0.000
1605307745.307,-145.508,-62.012,-78.125,-75.195,0.000
1605307745.311,23.438,-29.785,-56.641,4.883,0.000
1605307745.315,120.605,-20.020,-54.688,31.738,0.000
1605307745.319,28.809,-31.250,-70.801,-16.602,0.000
1605307745.323,-130.371,-56.152,-101.562,-83.496,0.000
1605307745.327,-138.184,-43.457,-102.539,-80.078,0.000
1605307745.330,75.195,8.301,-7.324,41.992,0.000
1605307745.334,175.781,18.555,-3.906,73.730,0.000
1605307745.338,46.875,-22.461,-76.660,-4.395,0.000
1605307745.342,-121.094,-60.547,-89.355,-66.406,0.000
1605307745.346,-154.785,-56.152,-92.285,-76.660,0.000
1605307745.350,-1.465,-6.348,-65.918,-0.977,0.000
1605307745.354,125.488,14.160,-54.688,38.086,0.000
1605307745.358,62.500,-19.043,-59.082,0.000,0.000
1605307745.362,-101.074,-35.156,-63.965,-52.246,0.000
1605307745.366,-143.066,-36.133,-69.824,-63.965,0.000
1605307745.370,-14.160,-12.207,-57.129,-10.742,0.000
1605307745.373,118.164,11.719,-52.246,41.016,0.000
1605307745.377,92.285,2.441,-58.594,33.691,0.000
1605307745.381,-96.191,-59.082,-105.469,-53.223,0.000
1605307745.385,-117.188,-39.062,-71.777,-29.785,0.000
1605307745.389,131.348,69.824,56.152,131.348,0.000
1605307745.393,160.156,29.785,-30.273,76.172,0.000
1605307745.397,49.805,-22.949,-93.262,-7.324,0.000
1605307745.401,-84.473,-49.805,-90.332,-61.035,0.000
1605307745.405,-164.551,-50.781,-78.613,-83.984,0.000
1605307745.409,-46.875,4.395,-51.758,-17.578,0.000
1605307745.413,112.305,18.066,-61.035,43.945,0.000
1605307745.416,94.238,-4.883,-75.684,24.414,0.000
1605307745.420,-83.008,-48.828,-106.934,-58.594,0.000
1605307745.424,-46.387,40.039,16.113,30.273,0.000
1605307745.428,52.246,75.195,41.992,75.195,0.000
