timestamps,TP9,AF7,AF8,TP10,Right AUX
1605290410.539,-28.809,-32.715,-39.551,-38.086,0.000
1605290410.543,-41.992,-35.156,-37.598,-41.992,0.000
1605290410.547,-44.922,-25.879,-29.785,-37.109,0.000
1605290410.551,-35.156,-27.344,-26.367,-30.273,0.000
1605290410.555,-35.645,-35.645,-31.738,-40.527,0.000
1605290410.559,-36.133,-40.527,-31.738,-50.781,0.000
1605290410.563,-33.691,-34.180,-33.691,-45.410,0.000
1605290410.566,-41.992,-26.855,-33.203,-33.203,0.000
1605290410.570,-25.391,-90.820,-24.414,-19.531,0.000
1605290410.574,-27.344,-82.031,-35.645,-31.738,0.000
1605290410.578,-40.527,-29.297,-40.039,-41.504,0.000
1605290410.582,-34.180,-28.320,-34.668,-40.527,0.000
1605290410.586,-29.785,-20.020,-28.320,-26.855,0.000
1605290410.590,-31.250,-16.602,-26.855,-18.555,0.000
1605290410.594,-38.574,-22.461,-32.715,-33.203,0.000
1605290410.598,-43.945,-32.715,-37.598,-43.457,0.000
1605290410.602,-42.480,-22.461,-40.039,-42.480,0.000
1605290410.605,-26.367,-53.711,-21.484,-20.508,0.000
1605290410.609,-19.531,-70.312,-12.207,-11.230,0.000
1605290410.613,-36.133,-30.273,-34.180,-27.344,0.000
1605290410.617,-41.992,-28.809,-38.086,-36.133,0.000
1605290410.621,-42.480,-30.762,-36.133,-41.504,0.000
1605290410.625,-42.969,-41.992,-29.785,-31.738,0.000
1605290410.629,-41.992,-38.574,-20.020,-23.438,0.000
1605290410.633,-43.457,-29.297,-27.344,-23.438,0.000
1605290410.637,-44.922,-40.527,-35.156,-33.203,0.000
1605290410.641,-42.969,-40.039,-36.133,-43.945,0.000
1605290410.645,-40.527,-29.785,-31.738,-36.133,0.000
1605290410.648,-39.551,-25.879,-28.320,-27.832,0.000
1605290410.652,-45.410,-27.832,-32.227,-24.414,0.000
1605290410.656,-41.504,-22.461,-30.762,-28.320,0.000
1605290410.660,-37.109,-24.414,-28.809,-37.598,0.000
1605290410.664,-42.969,-92.285,-33.203,-37.109,0.000
1605290410.668,-48.828,-76.172,-35.156,-34.180,0.000
1605290410.672,-52.246,-23.926,-38.574,-34.180,0.000
1605290410.676,-54.199,-34.668,-41.992,-46.387,0.000
1605290410.680,-51.270,-36.621,-38.574,-51.270,0.000
1605290410.684,-43.945,-41.016,-37.109,-40.039,0.000
1605290410.688,-44.434,-31.738,-31.738,-33.691,0.000
1605290410.691,-40.527,-31.738,-29.785,-34.668,0.000
1605290410.695,-31.738,-27.344,-35.645,-39.062,0.000
1605290410.699,-31.250,-61.035,-41.992,-47.363,0.000
1605290410.703,-39.551,-79.102,-40.039,-46.875,0.000
1605290410.707,-37.598,-31.250,-31.250,-33.203,0.000
1605290410.711,-31.250,-21.484,-34.180,-24.902,0.000
